,Summoner ID
0,uLaV8cUJfcXK_GFd0vTh8eWYF-DKDk3-vwbBDWpkxhIA9Row
1,JWNyqgCzTOnZUnSJKl7ypcqPqjWwqK-lFyVQCG7VA2gwXCVa
2,4tAlk5tB4y7pTX-Zw3lxBTZk6vH9NHQ_eR_wlsPzO0fl_meR
3,Ll9R5CGc3FBRkI2cYIj4_mt7txVf4x4q8wwIhYmQQNaNkk58
4,CKcyjqIYn0AODQrKhGfbJUiVAJqrU4XSPsmF72GgJiUrdR4f
5,dDByiGz2udyqK0ASOZofTvU0JHSOacthWQJkE7nzUI_l32CV
6,3IzyPF_JAA_7F-yk2cX9yOc7Ws-OMgG0gXPgyQ1lS4y5ndw5
7,conFXRoVwQFDe2ctAWnqHo3YBTs0Q4EUlw9zTpV5dY69njjS
8,XPmA1c8Z80us1lhMbc_zvqWMmQb4svNKCPJlMeICqFNhkvGU
9,EaCeHqhA2Y_hB0WkVozlthxjIpHYKleXTIlqvekuO8wSosA4
10,qKnxd2PIyuLHRtDa4UvYVwnYVxSl0LWkNebVLfmlxcPg4uok
11,upwcNe7kFyPjLndxXUG5-x2iv6Ayo62F9vQeVOGEQXIWgpJz
12,nusoqz0MTqWXH8lgsqiK72fRY2tUxZPAbcNYdn5nwuZNl2oz
13,I9RTMpF7tVZE9Vshwz_SS1D_qzJnVciAPkqHO_qNT1-CJz75
14,jk3vBrG63KzI03cZm6ZHHgbRXbgAzcvRMGOqqmTqcKJ1CItW
15,fZLxFTas0_FZyLctEn3C5Jl4ZGlbFY-rBAPcw_PM05883psX
16,_IOSP3Sk8UT_Jd98AVeGdkey7HM8Lney2sRZ0gK-fsgbntDk
17,gYtuyYdEswhjZT0uNLMi1bwkvVeNV2lOj6hx1de6D-ZN1g0n
18,-HZmXOurJqv1kbut0EGoBPg6K-S66PMyN40wQblbOApjlu2-
19,zG23ZI1uDqiSXGiGT6qh4-P5iwhAu89RPeg56mjAfjq6BFUm
20,5rQJxES9kReld-wyzmyovmcjByndzY8YDK3G8NMbTnlDW5MQ
21,UmzR19v6dbs9D4mTr0KvWYeXwQvTmQ0pT36vCJiHmRgpqxku
22,KBcBKOh3UwXs8bVGEBXpLH8nI3fZs0WC1-2zQSsXf3rnx1BO
23,FdSx0-vF6HFm6qhPR5vrDamr9M035y2KCpiVdlvnqyYs6YqE
24,1DlOTea5dHfPdIpTyrX9suIt1uhJpwaVY-onkzcoRbXDpIxU
